Transect,Waypoint,Type,daylength,long,lat,on_off,speed,mode,distance_to_next,distance_cum,time_to_next,time_cum,leg,Region
35,35.1,Compulsory,13.49531631969848,-123.823335,39.3019,1,9.5,survey,34.02329512744163,2421.4790330647506,0.2653809219626455,18.404469491401844,2,Central CA
35,35.2,Compulsory,13.49531631969848,-124.451428,39.013771,1,10,transit,16.436919038809712,2437.9159521035604,0.12820759166346757,18.532677083065312,2,Central CA
36,36.2,Compulsory,13.477438004855724,-124.502758,39.285042,1,9.5,survey,37.59626875010129,2475.512220853662,0.29363904120865125,18.826316124273966,2,Central CA
36,36.1,Compulsory,13.477438004855724,-123.806825,39.604674,1,10,transit,15.445143028992566,2490.957363882654,0.12063157172616079,18.946947696000127,2,Central CA
37,37.1,Compulsory,13.459559690012966,-123.920037,39.847018,1,9.5,survey,36.627069009764895,2527.584432892419,0.2864492626201645,19.23339695862029,2,Central CA
37,37.2,Compulsory,13.459559690012966,-124.600084,39.535186,1,10,transit,16.444448143440997,2544.02888103586,0.1286070704600571,19.362004029080346,2,Central CA
38,38.2,Compulsory,13.441681375170209,-124.883143,39.700467,1,9.5,survey,40.895463827988,2584.924344863848,0.3202564877081451,19.682260516788492,2,Central CA
38,38.1,Compulsory,13.441681375170209,-124.122305,40.049254,1,10,transit,15.746057149070072,2600.670402012918,0.12330895619679309,19.805569472985287,2,Central CA
39,39.1,Compulsory,13.423803060327451,-124.374495,40.226765,1,9.5,survey,38.44538491212024,2639.1157869250383,0.30147064912539995,20.107040122110686,2,Central CA
39,39.2,Compulsory,13.423803060327451,-125.092524,39.899929,1,10,transit,15.310760328215986,2654.4265472532543,0.12005979040921348,20.227099912519897,2,Central CA
40,40.2,Compulsory,13.405924745484693,-125.230734,40.132143,1,9.5,survey,38.739262665098636,2693.165809918353,0.30418021882566726,20.531280131345564,2,Central CA
40,40.1,Compulsory,13.405924745484693,-124.505039,40.461863,1,10,transit,4.717165264550449,2697.8829751829035,0.03703912422939604,20.568319255574963,2,Central CA
41,41.1,Compulsory,13.388046430641936,-124.429198,40.515122,1,9.5,survey,36.28335895352424,2734.166334136428,0.28527694180495206,20.853596197379915,2,Central CA
41,41.2,Compulsory,13.388046430641936,-125.222084,40.513657,1,10,transit,16.89347566233148,2751.059809798759,0.13282450171108554,20.986420699091,2,Central CA
42,42.2,Compulsory,13.370168115799178,-125.047075,40.761861,1,9.5,survey,34.359804875582974,2785.419614674342,0.27051429230548985,21.256934991396488,2,Central CA
42,42.1,Compulsory,13.370168115799178,-124.293437,40.764161,1,10,transit,15.332211890938432,2800.7518265652807,0.12071030275560188,21.377645294152092,2,Central CA
43,43.1,Compulsory,13.35228980095642,-124.206533,41.011203,1,9.5,survey,35.337316269465994,2836.089142834747,0.2785827417992837,21.656228035951376,2,Central CA
43,43.2,Compulsory,13.35228980095642,-124.98451,41.009945,1,10,transit,14.877593895578139,2850.9667367303246,0.11728793627680535,21.77351597222818,2,Central CA
44,44.2,Compulsory,13.334411486113664,-124.994222,41.257938,1,9.5,survey,37.87816017161741,2888.8448969019423,0.2990139279157017,22.07252990014388,2,Central CA
44,44.1,Compulsory,13.334411486113664,-124.157156,41.260717,1,10,transit,14.826799369776772,2903.6716962717187,0.11704421486915358,22.189574115013034,2,Central CA
45,45.1,Compulsory,13.316533171270907,-124.169032,41.507799,1,9.5,survey,39.42939394128771,2943.1010902130065,0.3116774063304823,22.50125152134352,2,Central CA
45,45.2,Compulsory,13.316533171270907,-125.043694,41.505884,1,10,transit,15.161893975933989,2958.2629841889407,0.11985017564595458,22.621101696989474,2,Central CA
46,46.2,Compulsory,13.298654856428149,-125.109535,41.753832,1,9.5,survey,36.49211232932559,2994.7550965182663,0.2888468813954911,22.909948578384963,2,Central CA
46,46.1,Compulsory,13.298654856428149,-124.296923,41.757097,1,10,transit,14.948052603283918,3009.7031491215503,0.11831867496265888,23.02826725334762,2,Central CA
47,47.1,Compulsory,13.280776541585391,-124.330059,42.005108,1,9.5,survey,36.65658703414752,3046.3597361556976,0.29053934435049344,23.318806597698117,2,WA/OR
47,47.2,Compulsory,13.280776541585391,-125.149497,42.001913,1,10,transit,15.22653506049149,3061.5862712161893,0.12068519933631296,23.439491797034428,2,WA/OR
48,48.2,Compulsory,13.262898226742633,-125.222242,42.249947,1,9.5,survey,34.766481397073555,3096.3527526132625,0.27592985772638245,23.71542165476081,2,WA/OR
48,48.1,Compulsory,13.262898226742633,-124.44202,42.253068,1,10,transit,15.285602671653455,3111.638355284916,0.12131668207316418,23.836738336833974,2,WA/OR
49,49.1,Compulsory,13.245019911899876,-124.520204,42.501238,1,9.5,survey,34.59588615836033,3146.2342414432765,0.2749465271791698,24.111684864013146,2,WA/OR
49,49.2,Compulsory,13.245019911899876,-125.299659,42.49802,1,10,transit,14.990675566245137,3161.2249170095215,0.11913654034304061,24.230821404356185,2,WA/OR
50,50.2,Compulsory,13.227141597057118,-125.338275,42.74631,1,9.5,survey,34.34311598632776,3195.5680329958495,0.27330658057447493,24.504127984930662,2,WA/OR
50,50.1,Compulsory,13.227141597057118,-124.561436,42.750254,1,10,transit,15.11177789857869,3210.679810894428,0.12026131657668186,24.624389301507343,2,WA/OR
51,51.1,Compulsory,13.20926328221436,-124.49726,42.997723,1,9.5,survey,35.41488296866781,3246.094693863096,0.2822172848030004,24.906606586310343,2,WA/OR
